City,State,Venue,Address,Saturday,Time,Leader,EventPageURL,GoogleMapsURL,Paused,Latitude,Longitude,Status,Last Updated,Notes,EventID,FirstAdded,PhotoURL
Scottsdale,AZ,Fate Brewing,"1312 N Scottsdale Rd, Scottsdale, AZ 85257",First,8:30 AM - 10:30 AM,Shirley,https://www.tangocharities.org/feed-the-city-scottsdale,,No,33.46278,-111.9267155,Live,"May 29, 2026 2:41 PM",,5fbc0649-b2ec-4258-9c24-ca1b48d95141,"May 2, 2026",
Wichita,KS,O'Briens Irish Pub,"5205 E Kellogg Dr, Wichita, KS 67218",First,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-wichita,,No,37.6788,-97.2755,Live,"May 24, 2026 4:59 PM",,a8441f9d-0bfa-439f-9c7d-35971609218b,"May 2, 2026",
Arlington,TX,BoomerJack's,"522 Lincoln Square, Arlington, TX 76011",First,8:30 AM - 10:30 AM,Patricia,https://www.tangocharities.org/feed-the-city-arlington,,No,32.7567,-97.0979,Live,"May 24, 2026 4:59 PM",,eb11ec0e-0a7a-48a3-80dc-58ce4712e3ca,"May 2, 2026",
Flower Mound,TX,Texas Roadhouse,"3811 Long Prairie Rd, Flower Mound, TX 75028",First,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-flower-mound,,No,33.0373484,-97.070486,Live,"May 24, 2026 4:59 PM",,5b36001b-8d1f-4773-a612-f39b8acaa18e,"May 24, 2026",
Fort Worth (South),TX,BoomerJack's,"6001 SW Loop 820, Fort Worth, TX 76132",First,8:30 AM - 10:30 AM,Kaylyn,https://www.tangocharities.org/feed-the-city-fort-worth-south,,No,32.6822,-97.4146,Live,"May 24, 2026 4:59 PM",,548dab78-1461-49ef-a01a-38a8ae4bb185,"May 2, 2026",
Highland Village,TX,Delhi 6,"1700 Cottonwood Creek Trail, Highland Village, TX 75077",First,9:30 AM - 11:30 AM,,https://www.tangocharities.org/feed-the-city-highland-village,,Yes,33.0737,-97.0639,Paused,"May 24, 2026 5:00 PM",,5614da6e-f766-4713-b493-d21cb660375e,"May 2, 2026",
Plano,TX,BoomerJack's,"5430 State Hwy 121, Plano, TX 75024",First,8:00 AM - 10:00 AM,,https://www.tangocharities.org/feed-the-city-plano,,No,33.0938,-96.8103,Live,"May 24, 2026 5:00 PM",,1945d377-30bc-4939-b226-ca11c8726f58,"May 2, 2026",
Prosper,TX,Chili's,"1081 S Preston Rd, Prosper, TX 75078",First,8:30 AM - 10:30 AM,Chris,https://www.tangocharities.org/feed-the-city-prosper,,No,33.2251,-96.7962,Live,"May 24, 2026 5:00 PM",,38058667-adc1-461d-bf8e-17b926497569,"May 2, 2026",
Royse City,TX,Smoke Sessions BBQ,"307 TX-66, Royse City, TX 75189",First,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-royse-city,,No,32.9744,-96.3349,Live,"May 24, 2026 5:00 PM",,a0539a3e-894d-4e8a-bf5e-b92862d586fe,"May 2, 2026",
Wylie,TX,Cotton Patch Cafe,"3300 FM 544, Wylie, TX 75098",First,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-wylie,,No,33.0107,-96.5905,Live,"May 24, 2026 5:00 PM",,f7ffb99d-77af-4506-b000-cfe74aca10df,"May 2, 2026",
Littleton,CO,Chili's,"8454 S Kipling Pkwy, Littleton, CO 80127",Second,8:30 AM - 10:30 AM,Tiffany,https://www.tangocharities.org/feed-the-city-littleton,,No,39.5627,-105.1094,Live,"May 24, 2026 5:00 PM",,dc524f84-b184-4fb1-b20d-47b9e560beb6,"May 2, 2026",
Austin (Zilker),TX,Bouldin Acres,"2027 S Lamar Blvd, Austin, TX 78704",Second,9:30 AM - 11:30 AM,Will,https://www.tangocharities.org/feed-the-city-austin-zilker,,No,30.2482,-97.7686,Live,"May 24, 2026 5:00 PM",,163e5fa0-cd29-4cc3-a111-0c0d6ddca5b4,"May 2, 2026",
Bedford,TX,BoomerJack's,"2300 Airport Fwy, Bedford, TX 76022",Second,8:30 AM - 10:30 AM,,https://www.tangocharities.org/feed-the-city-bedford,,No,32.8356,-97.131,Live,"May 24, 2026 5:00 PM",,3794a02c-16cf-405d-a554-56b0567ffc48,"May 2, 2026",
Celina,TX,Silos in Celina,"300 N Oklahoma Dr, Celina, TX 75009",Second,8:30 AM - 10:30 AM,Chelle,https://www.tangocharities.org/feed-the-city-celina,,No,33.3255,-96.7828,Live,"May 24, 2026 5:00 PM",,ed749400-0c85-47df-9c0a-5d3af721998d,"May 2, 2026",
Dallas (The Original),TX,Bowl & Barrel,"8084 Park Ln, Dallas, TX 75231",Second,8:30 AM - 10:30 AM,Nick,https://www.tangocharities.org/feed-the-city-dallas,,No,32.8702,-96.7674,Live,"May 24, 2026 5:00 PM",,a956b56e-93e2-4d04-8c06-b2f280064d00,"May 2, 2026",
Fort Worth (Alliance),TX,BoomerJack's,"6701 Fossil Bluff Dr, Fort Worth, TX 76137",Second,8:30 AM - 10:30 AM,Jerry,https://www.tangocharities.org/feed-the-city-fort-worth-alliance,,No,32.8629,-97.313,Live,"May 24, 2026 5:00 PM",,43f2356d-7fc1-41f8-86fb-d68c6a909c8f,"May 2, 2026",
